B.E.	O 1s:CPS	O 1s:O*	O 1s:OH	O 1s:H2O	O 1s:Multi H2O	O 1s:gas phase	Background	Envelope		
5.346000e+002	1.768640e+003	1.732868e+003	1.732868e+003	1.732964e+003	1.741790e+003	1.752651e+003	1.732868e+003	1.761669e+003		
5.345000e+002	1.782063e+003	1.732735e+003	1.732735e+003	1.732895e+003	1.744784e+003	1.749673e+003	1.732735e+003	1.761882e+003		
5.344000e+002	1.801858e+003	1.732548e+003	1.732548e+003	1.732811e+003	1.748584e+003	1.746753e+003	1.732548e+003	1.763052e+003		
5.343000e+002	1.740638e+003	1.732526e+003	1.732526e+003	1.732952e+003	1.753504e+003	1.744200e+003	1.732526e+003	1.765605e+003		
5.342000e+002	1.788475e+003	1.732375e+003	1.732375e+003	1.733053e+003	1.759361e+003	1.741793e+003	1.732375e+003	1.769458e+003		
5.341000e+002	1.817043e+003	1.732146e+003	1.732147e+003	1.733213e+003	1.766266e+003	1.739600e+003	1.732146e+003	1.774788e+003		
5.340000e+002	1.831338e+003	1.731878e+003	1.731879e+003	1.733525e+003	1.774218e+003	1.737682e+003	1.731878e+003	1.781671e+003		
5.339000e+002	1.793590e+003	1.731711e+003	1.731713e+003	1.734230e+003	1.783295e+003	1.736150e+003	1.731711e+003	1.790256e+003		
5.338000e+002	1.835140e+003	1.731431e+003	1.731436e+003	1.735213e+003	1.793016e+003	1.734773e+003	1.731431e+003	1.800145e+003		
5.337000e+002	1.799595e+003	1.731247e+003	1.731257e+003	1.736850e+003	1.803274e+003	1.733722e+003	1.731247e+003	1.811363e+003		
5.336000e+002	1.848280e+003	1.730930e+003	1.730950e+003	1.739106e+003	1.813350e+003	1.732733e+003	1.730930e+003	1.823350e+003		
5.335000e+002	1.832955e+003	1.730654e+003	1.730692e+003	1.742396e+003	1.822839e+003	1.731950e+003	1.730654e+003	1.835915e+003		
5.334000e+002	1.811193e+003	1.730436e+003	1.730505e+003	1.747077e+003	1.831123e+003	1.731351e+003	1.730436e+003	1.848747e+003		
5.333000e+002	1.831238e+003	1.730164e+003	1.730288e+003	1.753330e+003	1.837491e+003	1.730802e+003	1.730164e+003	1.861421e+003		
5.332000e+002	1.845103e+003	1.729854e+003	1.730072e+003	1.761709e+003	1.841366e+003	1.730290e+003	1.729853e+003	1.873880e+003		
5.331000e+002	1.858368e+003	1.729507e+003	1.729885e+003	1.772525e+003	1.842518e+003	1.729801e+003	1.729505e+003	1.886216e+003		
5.330000e+002	1.868193e+003	1.729133e+003	1.729776e+003	1.786388e+003	1.840643e+003	1.729327e+003	1.729130e+003	1.898747e+003		
5.329000e+002	1.893925e+003	1.728689e+003	1.729764e+003	1.803588e+003	1.836012e+003	1.728813e+003	1.728684e+003	1.912130e+003		
5.328000e+002	1.924420e+003	1.728164e+003	1.729923e+003	1.824509e+003	1.828841e+003	1.728238e+003	1.728155e+003	1.927057e+003		
5.327000e+002	1.931343e+003	1.727621e+003	1.730447e+003	1.849431e+003	1.819790e+003	1.727658e+003	1.727605e+003	1.944527e+003		
5.326000e+002	2.026228e+003	1.726825e+003	1.731276e+003	1.877974e+003	1.809218e+003	1.726831e+003	1.726797e+003	1.964934e+003		
5.325000e+002	2.016422e+003	1.726060e+003	1.732938e+003	1.910198e+003	1.798042e+003	1.726035e+003	1.726014e+003	1.989215e+003		
5.324000e+002	2.058440e+003	1.725189e+003	1.735612e+003	1.945006e+003	1.786700e+003	1.725127e+003	1.725115e+003	2.017175e+003		
5.323000e+002	2.098778e+003	1.724225e+003	1.739710e+003	1.981282e+003	1.775688e+003	1.724112e+003	1.724104e+003	2.048600e+003		
5.322000e+002	2.073770e+003	1.723350e+003	1.745906e+003	2.017443e+003	1.765498e+003	1.723163e+003	1.723158e+003	2.082727e+003		
5.321000e+002	2.099228e+003	1.722440e+003	1.754641e+003	2.051292e+003	1.756261e+003	1.722144e+003	1.722141e+003	2.118214e+003		
5.320000e+002	2.138575e+003	1.721474e+003	1.766510e+003	2.080520e+003	1.748001e+003	1.721016e+003	1.721015e+003	2.153461e+003		
5.319000e+002	2.185145e+003	1.720455e+003	1.782128e+003	2.102978e+003	1.740738e+003	1.719760e+003	1.719759e+003	2.187022e+003		
5.318000e+002	2.181730e+003	1.719545e+003	1.802221e+003	2.116672e+003	1.734546e+003	1.718510e+003	1.718510e+003	2.217454e+003		
5.317000e+002	2.278713e+003	1.718507e+003	1.826877e+003	2.120512e+003	1.729043e+003	1.716995e+003	1.716995e+003	2.243955e+003		
5.316000e+002	2.260398e+003	1.717705e+003	1.856414e+003	2.113687e+003	1.724447e+003	1.715525e+003	1.715525e+003	2.265678e+003		
5.315000e+002	2.241443e+003	1.717188e+003	1.890363e+003	2.097321e+003	1.720591e+003	1.714102e+003	1.714102e+003	2.283157e+003		
5.314000e+002	2.285780e+003	1.716845e+003	1.927448e+003	2.072061e+003	1.717217e+003	1.712556e+003	1.712556e+003	2.295904e+003		
5.313000e+002	2.314190e+003	1.716796e+003	1.965892e+003	2.040080e+003	1.714217e+003	1.710929e+003	1.710929e+003	2.304199e+003		
5.312000e+002	2.320452e+003	1.717163e+003	2.003251e+003	2.003564e+003	1.711570e+003	1.709280e+003	1.709280e+003	2.307709e+003		
5.311000e+002	2.318903e+003	1.718021e+003	2.036550e+003	1.964809e+003	1.709200e+003	1.707631e+003	1.707631e+003	2.305688e+003		
5.310000e+002	2.301120e+003	1.719468e+003	2.062702e+003	1.925917e+003	1.707085e+003	1.706026e+003	1.706026e+003	2.297095e+003		
5.309000e+002	2.281193e+003	1.721530e+003	2.078934e+003	1.888654e+003	1.705176e+003	1.704470e+003	1.704470e+003	2.280883e+003		
5.308000e+002	2.240910e+003	1.724220e+003	2.083383e+003	1.854196e+003	1.703480e+003	1.703019e+003	1.703019e+003	2.256223e+003		
5.307000e+002	2.220690e+003	1.727406e+003	2.075329e+003	1.823445e+003	1.701918e+003	1.701619e+003	1.701619e+003	2.223242e+003		
5.306000e+002	2.189505e+003	1.730974e+003	2.055448e+003	1.796654e+003	1.700489e+003	1.700299e+003	1.700299e+003	2.182667e+003		
5.305000e+002	2.123470e+003	1.734783e+003	2.025921e+003	1.774058e+003	1.699274e+003	1.699155e+003	1.699155e+003	2.136573e+003		
5.304000e+002	2.081958e+003	1.738494e+003	1.989533e+003	1.755377e+003	1.698193e+003	1.698119e+003	1.698119e+003	2.087239e+003		
5.303000e+002	2.045915e+003	1.741747e+003	1.949407e+003	1.740199e+003	1.697223e+003	1.697178e+003	1.697178e+003	2.037041e+003		
5.302000e+002	1.988483e+003	1.744281e+003	1.908573e+003	1.728247e+003	1.696417e+003	1.696391e+003	1.696391e+003	1.988347e+003		
5.301000e+002	1.925510e+003	1.745838e+003	1.869503e+003	1.718938e+003	1.695787e+003	1.695771e+003	1.695771e+003	1.942753e+003		
5.300000e+002	1.937265e+003	1.745988e+003	1.833761e+003	1.711758e+003	1.695127e+003	1.695118e+003	1.695118e+003	1.901282e+003		
5.299000e+002	1.880160e+003	1.744843e+003	1.802588e+003	1.706360e+003	1.694622e+003	1.694617e+003	1.694617e+003	1.864561e+003		
5.298000e+002	1.840560e+003	1.742443e+003	1.776365e+003	1.702398e+003	1.694225e+003	1.694222e+003	1.694222e+003	1.832765e+003		
5.297000e+002	1.812765e+003	1.738928e+003	1.755008e+003	1.699505e+003	1.693903e+003	1.693902e+003	1.693902e+003	1.805639e+003		
5.296000e+002	1.760630e+003	1.734626e+003	1.738204e+003	1.697503e+003	1.693722e+003	1.693721e+003	1.693721e+003	1.782891e+003		
5.295000e+002	1.762757e+003	1.729748e+003	1.725242e+003	1.696054e+003	1.693535e+003	1.693534e+003	1.693534e+003	1.763975e+003		
5.294000e+002	1.740017e+003	1.724677e+003	1.715574e+003	1.695056e+003	1.693409e+003	1.693409e+003	1.693409e+003	1.748489e+003		
5.293000e+002	1.687670e+003	1.719756e+003	1.708581e+003	1.694461e+003	1.693393e+003	1.693393e+003	1.693393e+003	1.736012e+003		
5.292000e+002	1.744935e+003	1.714984e+003	1.703458e+003	1.693932e+003	1.693254e+003	1.693254e+003	1.693254e+003	1.725866e+003		
5.291000e+002	1.742563e+003	1.710643e+003	1.699844e+003	1.693547e+003	1.693121e+003	1.693121e+003	1.693121e+003	1.717793e+003		
5.290000e+002	1.737060e+003	1.706849e+003	1.697347e+003	1.693265e+003	1.693002e+003	1.693002e+003	1.693002e+003	1.711457e+003		
5.289000e+002	1.713047e+003	1.703677e+003	1.695702e+003	1.693108e+003	1.692947e+003	1.692947e+003	1.692947e+003	1.706592e+003		
5.288000e+002	1.699892e+003	1.701081e+003	1.694641e+003	1.693025e+003	1.692929e+003	1.692929e+003	1.692929e+003	1.702890e+003		
5.287000e+002	1.663267e+003	1.698931e+003	1.693894e+003	1.692906e+003	1.692849e+003	1.692849e+003	1.692849e+003	1.700032e+003		
5.286000e+002	1.713945e+003	1.697253e+003	1.693417e+003	1.692825e+003	1.692792e+003	1.692792e+003	1.692792e+003	1.697911e+003		
5.285000e+002	1.706290e+003	1.695968e+003	1.693122e+003	1.692774e+003	1.692755e+003	1.692755e+003	1.692755e+003	1.696353e+003		
5.284000e+002	1.682080e+003	1.694998e+003	1.692938e+003	1.692737e+003	1.692727e+003	1.692727e+003	1.692727e+003	1.695220e+003		
5.283000e+002	1.689045e+003	1.694300e+003	1.692836e+003	1.692723e+003	1.692717e+003	1.692717e+003	1.692717e+003	1.694426e+003		
5.282000e+002	1.707025e+003	1.708109e+003	1.707091e+003	1.707028e+003	1.707025e+003	1.707025e+003	1.707025e+003	1.708179e+003		
5.281000e+002	1.736507e+003	1.737236e+003	1.736544e+003	1.736509e+003	1.736508e+003	1.736507e+003	1.736507e+003	1.737274e+003		
5.280000e+002	1.704948e+003	1.705431e+003	1.704967e+003	1.704948e+003	1.704948e+003	1.704948e+003	1.704948e+003	1.705451e+003		
5.279000e+002	1.743630e+003	1.743945e+003	1.743640e+003	1.743631e+003	1.743630e+003	1.743630e+003	1.743630e+003	1.743956e+003		
5.278000e+002	1.724090e+003	1.724292e+003	1.724095e+003	1.724090e+003	1.724090e+003	1.724090e+003	1.724090e+003	1.724297e+003		
5.277000e+002	1.716680e+003	1.716807e+003	1.716683e+003	1.716680e+003	1.716680e+003	1.716680e+003	1.716680e+003	1.716810e+003		
5.276000e+002	1.717233e+003	1.717312e+003	1.717234e+003	1.717233e+003	1.717233e+003	1.717233e+003	1.717233e+003	1.717313e+003		
5.275000e+002	1.724088e+003	1.724136e+003	1.724088e+003	1.724088e+003	1.724088e+003	1.724088e+003	1.724088e+003	1.724136e+003		
5.274000e+002	1.760595e+003	1.760624e+003	1.760595e+003	1.760595e+003	1.760595e+003	1.760595e+003	1.760595e+003	1.760624e+003		
5.273000e+002	1.713780e+003	1.713797e+003	1.713780e+003	1.713780e+003	1.713780e+003	1.713780e+003	1.713780e+003	1.713797e+003		
5.272000e+002	1.665372e+003	1.665382e+003	1.665373e+003	1.665373e+003	1.665373e+003	1.665372e+003	1.665372e+003	1.665383e+003		
5.271000e+002	1.722503e+003	1.722508e+003	1.722503e+003	1.722503e+003	1.722503e+003	1.722503e+003	1.722503e+003	1.722508e+003		
5.270000e+002	1.787445e+003	1.787448e+003	1.787445e+003	1.787445e+003	1.787445e+003	1.787445e+003	1.787445e+003	1.787448e+003		
5.269000e+002	1.748015e+003	1.748017e+003	1.748015e+003	1.748015e+003	1.748015e+003	1.748015e+003	1.748015e+003	1.748017e+003		
5.268000e+002	1.708450e+003	1.708451e+003	1.708450e+003	1.708450e+003	1.708450e+003	1.708450e+003	1.708450e+003	1.708451e+003		
5.267000e+002	1.702760e+003	1.702761e+003	1.702760e+003	1.702760e+003	1.702760e+003	1.702760e+003	1.702760e+003	1.702761e+003		
5.266000e+002	1.743412e+003	1.743413e+003	1.743413e+003	1.743413e+003	1.743412e+003	1.743412e+003	1.743412e+003	1.743413e+003		
5.265000e+002	1.692475e+003	1.692475e+003	1.692475e+003	1.692475e+003	1.692475e+003	1.692475e+003	1.692475e+003	1.692475e+003		
5.264000e+002	1.703350e+003	1.703350e+003	1.703350e+003	1.703350e+003	1.703350e+003	1.703350e+003	1.703350e+003	1.703350e+003		
5.263000e+002	1.701902e+003	1.701903e+003	1.701903e+003	1.701903e+003	1.701902e+003	1.701902e+003	1.701902e+003	1.701903e+003		
5.262000e+002	1.703065e+003	1.703065e+003	1.703065e+003	1.703065e+003	1.703065e+003	1.703065e+003	1.703065e+003	1.703065e+003		
5.261000e+002	1.714645e+003	1.714645e+003	1.714645e+003	1.714645e+003	1.714645e+003	1.714645e+003	1.714645e+003	1.714645e+003		
5.260000e+002	1.761588e+003	1.761588e+003	1.761588e+003	1.761588e+003	1.761588e+003	1.761588e+003	1.761588e+003	1.761588e+003		
5.259000e+002	1.727555e+003	1.727555e+003	1.727555e+003	1.727555e+003	1.727555e+003	1.727555e+003	1.727555e+003	1.727555e+003		
5.258000e+002	1.706253e+003	1.706253e+003	1.706253e+003	1.706253e+003	1.706253e+003	1.706253e+003	1.706253e+003	1.706253e+003		
5.257000e+002	1.697730e+003	1.697730e+003	1.697730e+003	1.697730e+003	1.697730e+003	1.697730e+003	1.697730e+003	1.697730e+003		
5.256000e+002	1.702100e+003	1.702100e+003	1.702100e+003	1.702100e+003	1.702100e+003	1.702100e+003	1.702100e+003	1.702100e+003		
5.255000e+002	1.734430e+003	1.734430e+003	1.734430e+003	1.734430e+003	1.734430e+003	1.734430e+003	1.734430e+003	1.734430e+003		
5.254000e+002	1.690805e+003	1.690805e+003	1.690805e+003	1.690805e+003	1.690805e+003	1.690805e+003	1.690805e+003	1.690805e+003		
5.253000e+002	1.709175e+003	1.709175e+003	1.709175e+003	1.709175e+003	1.709175e+003	1.709175e+003	1.709175e+003	1.709175e+003		
5.252000e+002	1.734020e+003	1.734020e+003	1.734020e+003	1.734020e+003	1.734020e+003	1.734020e+003	1.734020e+003	1.734020e+003		
5.251000e+002	1.729810e+003	1.729810e+003	1.729810e+003	1.729810e+003	1.729810e+003	1.729810e+003	1.729810e+003	1.729810e+003		
5.250000e+002	1.726900e+003	1.726900e+003	1.726900e+003	1.726900e+003	1.726900e+003	1.726900e+003	1.726900e+003	1.726900e+003		
