,simulated
,envelope
eV,
525.1309999999969,9.745666258494893e-28
525.1319999999969,9.982362276321812e-28
525.1329999999969,1.0224756605289487e-27
525.1339999999968,1.0472985194726318e-27
525.1349999999968,1.0727187207455145e-27
525.1359999999968,1.0987505095032106e-27
525.1369999999968,1.1254084674727175e-27
525.1379999999967,1.1527075208291512e-27
525.1389999999967,1.1806629482548563e-27
525.1399999999967,1.2092903891853506e-27
525.1409999999967,1.2386058522461426e-27
525.1419999999966,1.2686257238850695e-27
525.1429999999966,1.2993667772043616e-27
525.1439999999966,1.3308461809972468e-27
525.1449999999966,1.3630815089936317e-27
525.1459999999965,1.3960907493197208e-27
525.1469999999965,1.4298923141763709e-27
525.1479999999965,1.4645050497415266e-27
525.1489999999965,1.499948246301169e-27
525.1499999999965,1.536241648614853e-27
525.1509999999964,1.5734054665206401e-27
525.1519999999964,1.6114603857850012e-27
525.1529999999964,1.650427579203463e-27
525.1539999999964,1.6903287179575065e-27
525.1549999999963,1.7311859832338193e-27
525.1559999999963,1.7730220781116547e-27
525.1569999999963,1.815860239724552e-27
525.1579999999963,1.859724251702683e-27
525.1589999999962,1.9046384569023744e-27
525.1599999999962,1.9506277704288235e-27
525.1609999999962,1.997717692959477e-27
525.1619999999962,2.0459343243743536e-27
525.1629999999961,2.0953043777005486e-27
525.1639999999961,2.1458551933779773e-27
525.1649999999961,2.1976147538539042e-27
525.1659999999961,2.2506116985134002e-27
525.166999999996,2.3048753389537413e-27
525.167999999996,2.360435674610363e-27
525.168999999996,2.417323408742411e-27
525.169999999996,2.4755699647863707e-27
525.170999999996,2.535207503085421e-27
525.1719999999959,2.596268938003963e-27
525.1729999999959,2.6587879554356342e-27
525.1739999999959,2.7227990307135987e-27
525.1749999999959,2.7883374469326895e-27
525.1759999999958,2.8554393136924553e-27
525.1769999999958,2.9241415862708244e-27
525.1779999999958,2.9944820852381284e-27
525.1789999999958,3.0664995165215374e-27
525.1799999999957,3.1402334919299663e-27
525.1809999999957,3.2157245501504905e-27
525.1819999999957,3.293014178225937e-27
525.1829999999957,3.372144833525635e-27
525.1839999999956,3.45315996622e-27
525.1849999999956,3.5361040422704094e-27
525.1859999999956,3.6210225669461926e-27
525.1869999999956,3.7079621088804904e-27
525.1879999999956,3.7969703246776394e-27
525.1889999999955,3.888095984083903e-27
525.1899999999955,3.981388995735149e-27
525.1909999999955,4.076900433493645e-27
525.1919999999955,4.1746825633883986e-27
525.1929999999954,4.274788871171398e-27
525.1939999999954,4.377274090505025e-27
525.1949999999954,4.4821942317940744e-27
525.1959999999954,4.589606611677139e-27
525.1969999999953,4.6995698831927155e-27
525.1979999999953,4.812144066634535e-27
525.1989999999953,4.927390581112467e-27
525.1999999999953,5.045372276834498e-27
525.2009999999952,5.166153468126241e-27
525.2019999999952,5.289799967204628e-27
525.2029999999952,5.416379118722779e-27
525.2039999999952,5.545959835103949e-27
525.2049999999952,5.678612632680995e-27
525.2059999999951,5.8144096686617446e-27
525.2069999999951,5.9534247789367484e-27
525.2079999999951,6.095733516749925e-27
525.2089999999951,6.2414131922508095e-27
525.209999999995,6.39054291294864e-27
525.210999999995,6.54320362508828e-27
525.211999999995,6.699478155969503e-27
525.212999999995,6.85945125722975e-27
525.2139999999949,7.023209649113355e-27
525.2149999999949,7.1908420657487e-27
525.2159999999949,7.362439301455673e-27
525.2169999999949,7.538094258107919e-27
525.2179999999948,7.717901993572415e-27
525.2189999999948,7.901959771251246e-27
525.2199999999948,8.090367110749935e-27
525.2209999999948,8.28322583969861e-27
525.2219999999948,8.48064014675053e-27
525.2229999999947,8.682716635785875e-27
525.2239999999947,8.889564381346973e-27
525.2249999999947,9.101294985332852e-27
525.2259999999947,9.31802263498256e-27
525.2269999999946,9.539864162172916e-27
525.2279999999946,9.766939104065192e-27
525.2289999999946,9.999369765126436e-27
525.2299999999946,1.0237281280559065e-26
525.2309999999945,1.0480801681169553e-26
525.2319999999945,1.0730061959707782e-26
525.2329999999945,1.0985196138711574e-26
525.2339999999945,1.124634133988859e-26
525.2349999999944,1.151363785507171e-26
525.2359999999944,1.1787229218781352e-26
525.2369999999944,1.206726228243306e-26
525.2379999999944,1.2353887290223808e-26
525.2389999999943,1.2647257956738922e-26
525.2399999999943,1.294753154631483e-26
525.2409999999943,1.3254868954198392e-26
525.2419999999943,1.3569434789542854e-26
525.2429999999943,1.3891397460281042e-26
525.2439999999942,1.4220929259919298e-26
525.2449999999942,1.4558206456292622e-26
525.2459999999942,1.4903409382328007e-26
525.2469999999942,1.525672252885751e-26
525.2479999999941,1.5618334639530818e-26
525.2489999999941,1.5988438807869465e-26
525.2499999999941,1.636723257651541e-26
525.2509999999941,1.6754918038719814e-26
525.251999999994,1.7151701942122698e-26
525.252999999994,1.755779579487629e-26
525.253999999994,1.7973415974161388e-26
525.254999999994,1.8398783837153266e-26
525.255999999994,1.8834125834489748e-26
525.2569999999939,1.9279673626298105e-26
525.2579999999939,1.9735664200837404e-26
525.2589999999939,2.0202339995816342e-26
525.2599999999939,2.0679949022442172e-26
525.2609999999938,2.1168744992266515e-26
525.2619999999938,2.1668987446887536e-26
525.2629999999938,2.218094189057252e-26
525.2639999999938,2.2704879925866208e-26
525.2649999999937,2.3241079392251336e-26
525.2659999999937,2.3789824507929332e-26
525.2669999999937,2.4351406014790706e-26
525.2679999999937,2.492612132664527e-26
525.2689999999936,2.5514274680787284e-26
525.2699999999936,2.6116177292964967e-26
525.2709999999936,2.673214751583776e-26
525.2719999999936,2.73625110009876e-26
525.2729999999935,2.800760086457588e-26
525.2739999999935,2.866775785671704e-26
525.2749999999935,2.934333053465822e-26
525.2759999999935,3.003467543984352e-26
525.2769999999934,3.0742157278955557e-26
525.2779999999934,3.1466149109016204e-26
525.2789999999934,3.220703252664198e-26
